Player,Opponent,Winner,Date,Youtube Video Title,Comment,Sentiment
Djokovic N.,Fritz T.,Djokovic N. ,2024-10-12,Novak Djokovic vs Taylor Fritz Extended Highlights | Shanghai 2024,"There’s a whole set of players like Fritz, Tsitsipas etc who I don’t think will ever ever beat Djokovic again, even if he’s 45 and unable to move side to side properly",Negative
Djokovic N.,Fritz T.,Djokovic N. ,2024-10-12,Novak Djokovic vs Taylor Fritz Extended Highlights | Shanghai 2025,"aaand... after 2 sets Im noticing, its not US Open 2025........",Neutral
Djokovic N.,Fritz T.,Djokovic N. ,2024-10-12,Novak Djokovic vs Taylor Fritz Extended Highlights | Shanghai 2026,The GREATEST of all time 🐐🇷🇸,Positive
Djokovic N.,Fritz T.,Djokovic N. ,2024-10-12,Novak Djokovic vs Taylor Fritz Extended Highlights | Shanghai 2027,all the greats have good movement like nba point guards,Neutral
Djokovic N.,Fritz T.,Djokovic N. ,2024-10-12,Novak Djokovic vs Taylor Fritz Extended Highlights | Shanghai 2028,"Fritz is everything Djokovic like ! He is a baseliner, good serve, good forehand and backhand but nothing that really disrupt Novak rythm (10-0) Fritz doesn’t move that well and doesn’t rush the net nor play dropshogs ect….HOWEVER this is Fritz best chance ! Novak is not getting any younger and his body might start to feel old ! If he plays well and can make Djokovic run and run again and again, well there might be a chance but I see Novak winning",Neutral
Djokovic N.,Ruud C.,Ruud C.,2024-04-13,Casper Ruud STUNS Novak Djokovic For Biggest Ever Win | Monte Carlo 2024 Semi-Final Highlights,this is a huge W for one of the nicest and most humble guys on tour. hope he brings it home tomorrow 🙏,Positive
Djokovic N.,Ruud C.,Ruud C.,2024-04-13,Casper Ruud STUNS Novak Djokovic For Biggest Ever Win | Monte Carlo 2024 Semi-Final Highlights,From 4-4 to match point? where are the highlights that decided the match to get Ruud to match point? Seriously Tennis TV?,Negative
Djokovic N.,Ruud C.,Ruud C.,2024-04-13,Casper Ruud STUNS Novak Djokovic For Biggest Ever Win | Monte Carlo 2024 Semi-Final Highlights,Casper is one of the most endearing players of all time. He finally gets the sense of achievement he has long deserved.,Positive
Djokovic N.,Ruud C.,Ruud C.,2024-04-13,Casper Ruud STUNS Novak Djokovic For Biggest Ever Win | Monte Carlo 2024 Semi-Final Highlights,Players like Casper showing such a mental resolve against such giants of the game is pretty satisfying,Positive
Djokovic N.,Ruud C.,Ruud C.,2024-04-13,Casper Ruud STUNS Novak Djokovic For Biggest Ever Win | Monte Carlo 2024 Semi-Final Highlights,"My favorite sentence: ""A lot depends on how the match goes."" 😂",Positive
Shelton B.,Tiafoe F.,Shelton B.,2025-07-26,Ben Shelton vs Frances Tiafoe Electric Match Highlights | Washington 2025,Shelton really taking his game up a notch this tournament. Love to see it.,Positive
Shelton B.,Tiafoe F.,Shelton B.,2025-07-26,Ben Shelton vs Frances Tiafoe Electric Match Highlights | Washington 2026,Ben's backhand is massively improved from last year,Positive
Shelton B.,Tiafoe F.,Shelton B.,2025-07-26,Ben Shelton vs Frances Tiafoe Electric Match Highlights | Washington 2027,When two best friend meet each other 🔥🔥,Neutral
Shelton B.,Tiafoe F.,Shelton B.,2025-07-26,Ben Shelton vs Frances Tiafoe Electric Match Highlights | Washington 2028,Shelton is such a talent that deserve to be with the top seeds.,Positive
Shelton B.,Tiafoe F.,Shelton B.,2025-07-26,Ben Shelton vs Frances Tiafoe Electric Match Highlights | Washington 2029,say whatever you want about shelton but that is a world class serve and he is getting better little by little all the time.,Positive
Shelton B.,Sinner J.,Sinner J.,2025-07-09,Stunning display | Jannik Sinner vs Ben Shelton | Extended Highlights | Wimbledon 2025,"Typical Sinner match.  His opponent plays incredible top level tennis, and it’s not even close to being enough.",Neutral
Shelton B.,Sinner J.,Sinner J.,2025-07-09,Stunning display | Jannik Sinner vs Ben Shelton | Extended Highlights | Wimbledon 2026,"I don't understand how people say Jannik plays like a robot. He has variety, power and a willingness to finish points. He's not a showman like Carlos but he certainly isn't a robot.",Negative
Shelton B.,Sinner J.,Sinner J.,2025-07-09,Stunning display | Jannik Sinner vs Ben Shelton | Extended Highlights | Wimbledon 2027,I'm so happy to see that the RG final loss hasn't deterred Sinner. I really hope he goes all the way.,Positive
Shelton B.,Sinner J.,Sinner J.,2025-07-09,Stunning display | Jannik Sinner vs Ben Shelton | Extended Highlights | Wimbledon 2028,Sheldon has improved so much and he played so well in this match. Sinner is just too good atm.,Positive
Shelton B.,Sinner J.,Sinner J.,2025-07-09,Stunning display | Jannik Sinner vs Ben Shelton | Extended Highlights | Wimbledon 2029,no shame in losing to sinner,Neutral
Shelton B.,Alcaraz C.,Alcaraz C.,2025-06-01,Carlos Alcaraz vs Ben Shelton - FULL Match Highlights - Fourth Round | Roland Garros 2025,What nice is to see the embrace and the positive words they said to each other. This is the way it should be competitive but friendly afterwards.,Positive
Shelton B.,Alcaraz C.,Alcaraz C.,2025-06-01,Carlos Alcaraz vs Ben Shelton - FULL Match Highlights - Fourth Round | Roland Garros 2026,The new generation is so talented and young. We have years of joy ahead of us. Shelton is lovely to watch. And what can be said about Alcaraz? Some of the points are highlights of the best shots of the year.,Positive
Shelton B.,Alcaraz C.,Alcaraz C.,2025-06-01,Carlos Alcaraz vs Ben Shelton - FULL Match Highlights - Fourth Round | Roland Garros 2027,"Both players played great tennis, I love the moment at the end at the net, they enjoyed it as much as we did.  Shelton is getting better and better and Carlos it’s just great under pressure, nothing faze him.",Positive
Shelton B.,Alcaraz C.,Alcaraz C.,2025-06-01,Carlos Alcaraz vs Ben Shelton - FULL Match Highlights - Fourth Round | Roland Garros 2028,Love the smiles and enjoyment these two showed playing each other!!!  That is what life is all about!!,Positive
Shelton B.,Alcaraz C.,Alcaraz C.,2025-06-01,Carlos Alcaraz vs Ben Shelton - FULL Match Highlights - Fourth Round | Roland Garros 2029,"Wow what an incredible performance by Ben, I've never seen him that dialed in",Positive
