ID,Player Name,Player Status,Year of Event,Statement Made,Event Description,Platform,Event Type,Media Tone,Post Status,Media Coverage,Sources,URL,,
42,Jonathan Owens,Playing,2024,I always say the men are the catch.,"He made comments about how he met his wife Simone Biles through a dating app, which has drawn attention to people even outside of the football world.","""The Pivot"" podcast",Controversy,Negative,Available,High,"Today, People, Yahoo Sports",https://sports.yahoo.com/jonathan-owens-disappointed-podcast-comments-230735434.html,,
43,Cam Newton,Retired,2026,"When you have unconditional love for somebody, especially someone like that, it's almost like there's nothing you can tel me that will make me look at you differently.",Discusses about the difficulty about learning about the LGBTQ community unless constant attempt to learn about them themselves as he learned about his father's sexual orientation ,Funky Friday podcast,Support,Mixed,Available,Low,OutSports,https://sports.yahoo.com/nfl-cam-newton-trash-talk-hs-football-player-social-media-calls-out-disrespect-im-rich-200142619.html,,
44,Cam Skattebo,Playing,2026,"Yeah, asthma's fake too",Discusses about belief that CTE and asthma are fake and excuses for not poor performance and skillset,Bring the Juice podcast,Controversy,Negative,Available,High,"NBC Sports, CBS Sports, Daily Mail",https://www.dailymail.com/sport/nfl/article-15666519/new-york-giants-cam-skattebo-cte.html,,
45,Christian McCaffrey,Playing,2026,My superpower [is] my new daughter Colette. ,"After receiving the NFL honors, he honored the award to his newly born daughter. ",Instagram,Reflection,Positive,Active,Low,MSN,https://www.msn.com/en-us/sports/nfl/a-new-chapter-49ers-rb-christian-mccaffrey-and-olivia-culpo-welcome-baby-girl/ar-AA1IwK2q?apiversion=v2&domshim=1&noservercache=1&noservertelemetry=1&batchservertelemetry=1&renderwebcomponents=1&wcseo=1,,
46,DJ Chark,Retired,2026,"After much contemplation, I have decided to share a proper farewell as I navigate retirement. ",Posts about retiring from the NFL at the age of 29 and pursue the next part of his life,Instagram,Reflection,Positive,Active,Low,New York Post,https://nypost.com/2026/03/20/sports/former-pro-bowl-wideout-dj-chark-retires-from-nfl-at-29/,,
47,Antonio Brown,Retired,2026,"If the rumours are true, the US just lost its President...","Brown posts another unpredictable tweet without any additional context or information, resulting in a stir in discussion. ",Twitter/X,Controversy,Negative,Active,Low,NFL,https://www.foxnews.com/sports/antonio-brown-sends-bizarre-tweet-claiming-he-will-end-retirement-play-ravens,,
48,Tyreek Hill,Playing,2025,✌🏽,Made a remark on social media after a game where the Dolphins quarterback Tua Tagovailoa was benched,Twitter/X,Controversy,Mixed,Active,Medium,Yahoo Sports,https://sports.yahoo.com/articles/tyreek-hill-posts-cryptic-message-205109662.html,,
49,Tua Tagovailoa,Playing,2025,...it starts with the leadership,"After the game loss, he expressed the lack of seriousness from other Dolphins players to show up to players-only meetings, aiding in the loss. ",Postgame interview,Controversy,Negative,Available,Low,SI,https://www.nfl.com/news/dolphins-tua-tagovailoa-calls-out-attendance-at-players-only-meetings-following-loss-to-chargers,,
50,Josh Allen,Playing,2026,I let my teammates down tonight...This is gonna stick with me for a long time. ,"After losing in the Divisional Round, Allen emotionally reflects on his performance, affecting team's progression in the Playoffs. ",Postgame press conference,Reflection,Positive,Available,High,"USA Today, the New York Times, People",https://www.nfl.com/news/bills-josh-allen-laments-playoff-loss-broncos-let-my-teammates-down,,
51,Dion Dawkins,Playing,2026,He didn't let us down.,"Hearing about Josh Allen's emotional self-reflection on game, Dawkins becomes emotional defending the quarterback",Locker room report,Support,Mixed,Available,Medium,Yahoo Sports,https://sports.yahoo.com/articles/bills-locker-room-back-qb-144533874.html,,
