player_name,Url,gender,Nationality ,league_country,team_name,position,years_active,olympian,data_collection_date,instagram_username,instagram_followers (in thousands),instagram_following,instagram_post_count,avg_likes_last10 (thousands),avg_comments_last10 ,posts_per_week,athletic_content_percent,lifestyle_content_percent,sponsorship_content_percent,national_identity_content_percent,points_per_game,awards_count,national_team_member,championships_won
Yuki Ishikawa,https://www.instagram.com/yuki_ishikawa_official/,male,Japan,Italy,Perugia,OH,13,yes,May 10th,yuki_ishikawa_official,2000,266,381,159.2,250,1.5,68,8,27,7,17.5,29,yes,8
Ran Takahashi,https://www.instagram.com/Ran.volleyball0902/,male,Japan,Japan,Suntory Sunbirds,OH,8,yes,May 10th,Ran.volleyball0902,2500,265,333,108.4,248,2.5,62,12,30,5,13.5,10,yes,4
Yuji Nishida,https://www.instagram.com/Nishidayuji0130/,male,Japan,Japan,Osaka Bluteon,OP,10,yes,May 10th,Nishidayuji0130,1800,508,443,92,520,2,64,18,12,6,19,13,yes,5
Micah Christenson,https://www.instagram.com/Mchristenson11/,male,USA,USA,Zenit Kazan,S,14,yes,May 10th,Mchristenson11,345,921,177,35,120,1,76,14,4,6,3.5,24,yes,14
Erik Shoji,https://www.instagram.com/Erikshoji/,male,USA,Poland,Asseco Resovia,L,13,yes,May 10th,Erikshoji,317,930,935,28.5,210,,45,40,10,5,0,11,yes,12
Matt Anderson,https://www.instagram.com/Mja5041/,male,USA,USA,Zenit Kazan,OP,19,yes,May 10th,Mja5041,363,544,483,42,180,4,78,12,5,5,15.5,22,yes,18
Taylor Averill,https://www.instagram.com/Taverill13/,male,USA,France,Montpellier,MB,12,no,May 10th,Taverill13,132,1778,1201,15,85,1.25,52,36,7,5,9.5,6,yes,2
Bruno Rezende,https://www.instagram.com/Bruinho1/,male,Brazil,Brazil,Sada Cruzeiro,S,22,yes,May 10th,Bruinho1,1600,2844,2753,55,450,4,64,12,18,6,2,21,yes,22
Ricardo Lucarelli,https://www.instagram.com/Lucarelli8/,male,Brazil,Brazil,Sada Cruzeiro,OH,16,yes,May 10th,Lucarelli8,793,977,839,22,110,1,74,11,10,5,14.5,15,yes,16
Wallace de Souza,https://www.instagram.com/Wallaceleandro08/,male,Brazil,Brazil,Sada Cruzeiro,OP,14,yes,May 10th,Wallaceleandro08,337,1301,1065,18,95,3.54,79,13,4,4,18,19,yes,15
